provider,OeMnemonic,ProviderMnemonic,indicator_id,indicator_name,haver_description,haver_long_source,haver_discontinued,date,value
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,1990,793.392
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,1991,852.839
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,1992,903.403
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,1993,951.329
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,1994,1014.339
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,1995,974.397
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,1996,1053.937
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,1997,1149.291
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,1998,1234.092
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,1999,1286.036
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,2000,1381.311
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,2001,1406.045
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,2002,1424.517
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,2003,1469.862
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,2004,1563.201
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,2005,1646.29
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,2006,1778.604
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,2007,1864.749
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,2008,1918.602
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,2009,1808.909
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,2010,1921.914
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,2011,2029.125
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,2012,2140.347
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,2013,2195.324
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,2014,2289.484
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,2015,2373.175
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,2016,2438.189
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,2017,2528.308
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,2018,2606.266
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,2019,2636.53
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,2020,2454.085
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,2021,2684.659
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,2022,2982.281
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,2023,3188.708
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,2024,3312.004
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,1990,3098000000
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,1991,3030000000
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,1992,3700000000
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,1993,3979000000
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,1994,4121819824
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,1995,4368120000
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,1996,4949000000
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,1997,5545800000
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,1998,6501246000
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,1999,6648625182
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2000,7524742980
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2001,10146263000
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2002,11029448100
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2003,16653686411
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2004,19861747959
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2005,22741840918
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2006,26542811527
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2007,27516981140
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2008,27081720166
