provider,OeMnemonic,ProviderMnemonic,indicator_id,indicator_name,haver_description,haver_long_source,haver_discontinued,date,value
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,1990,793.392
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,1991,852.839
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,1992,903.403
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,1993,951.329
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,1994,1014.339
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,1995,974.397
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,1996,1053.937
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,1997,1149.291
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,1998,1234.092
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,1999,1286.036
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2000,1381.311
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2001,1406.045
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2002,1424.517
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2003,1469.862
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2004,1563.201
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2005,1646.29
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2006,1778.604
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2007,1864.749
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2008,1918.602
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2009,1808.909
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2010,1921.914
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2011,2029.125
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2012,2140.347
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2013,2195.324
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2014,2289.484
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2015,2373.175
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2016,2438.189
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2017,2528.308
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2018,2606.266
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2019,2636.53
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2020,2454.085
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2021,2684.659
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2022,2982.281
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2023,3188.708
haver-local,,A273GPP@IMFWEO,A273GPP@IMFWEO,Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2026](Bil.CID),,International Monetary Fund,False,2024,3312.004
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,1990,3098.0
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,1991,3030.0
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,1992,3700.0
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,1993,3979.0
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,1994,4121.82
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,1995,4368.12
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,1996,4949.0
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,1997,5545.8
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,1998,6501.25
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,1999,6648.63
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,2000,7524.74
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,2001,10146.26
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,2002,11029.45
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,2003,16653.69
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,2004,19861.75
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,2005,22741.84
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,2006,26542.81
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,2007,27516.98
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,2008,27081.72
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,2009,22893.13
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,2010,22767.72
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,2011,24190.03
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,2012,24056.6
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,2013,23976.1
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,2014,25556.64
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,2015,26824.91
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,2016,29328.82
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,2017,32922.88
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,2018,36526.31
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,2019,39833.52
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,2020,43977.65
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,2021,55067.03
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,2022,61457.72
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,2023,66237.85
haver-local,,B273WRRV@WDI,B273WRRV@WDI,"Mexico: Personal Remittances, Received (Mil.US$)",,World Bank,False,2024,67637.91
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,1990,0.0
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,1991,0.0
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,1992,0.0
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,1993,0.0
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,1994,595.19666667
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,1995,311.60833333
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,1996,265.62083333
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,1997,260.92
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,1998,233.27916667
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,1999,222.415
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2000,227.58
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2001,235.285
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2002,228.5575
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2003,198.545
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2004,185.85583333
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2005,190.71166667
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2006,189.09
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2007,184.17416667
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2008,177.94083333
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2009,148.48416667
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2010,156.37
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2011,155.57666667
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2012,148.19416667
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2013,153.63416667
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2014,149.24666667
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2015,131.48916667
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2016,113.21416667
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2017,111.60916667
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2018,108.79916667
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2019,110.7925
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2020,100.00083333
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2021,103.22
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2022,108.76583333
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2023,125.44
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2024,123.53166667
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,1990,0.0
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,1991,0.0
